Date,AAPL,AMZN,GOOG,MSFT
2015-01-02,24.320436477661133,15.425999641418457,26.045291900634766,40.07213592529297
2015-01-05,23.635278701782227,15.10949993133545,25.502361297607422,39.70363998413086
2015-01-06,23.63751792907715,14.76449966430664,24.911291122436523,39.12089157104492
2015-01-07,23.968961715698242,14.920999526977539,24.868610382080078,39.61793518066406
2015-01-08,24.8898983001709,15.02299976348877,24.947021484375,40.78343200683594
2015-01-09,24.91659164428711,14.846500396728516,24.623945236206055,40.44063186645508
2015-01-12,24.302637100219727,14.570500373840332,24.444290161132812,39.93501663208008
2015-01-13,24.51841163635254,14.737000465393066,24.62444305419922,39.729339599609375
2015-01-14,24.424989700317383,14.66349983215332,24.857196807861328,39.386566162109375
2015-01-15,23.7620849609375,14.34749984741211,24.902854919433594,38.97520065307617
2015-01-16,23.577444076538086,14.536999702453613,25.21501350402832,39.62649917602539
2015-01-20,24.184736251831055,14.472000122070312,25.15645408630371,39.75503921508789
2015-01-21,24.369367599487305,14.862500190734863,25.70931053161621,39.35227966308594
2015-01-22,25.00335121154785,15.515999794006348,26.520727157592773,40.389217376708984
2015-01-23,25.13236427307129,15.619500160217285,26.796659469604492,40.43206787109375
2015-01-26,25.159067153930664,15.482999801635742,26.56142234802246,40.2863883972168
2015-01-27,24.278167724609375,15.337499618530273,25.738590240478516,36.55855178833008
2015-01-28,25.650678634643555,15.195500373840332,25.310298919677734,35.29878234863281
2015-01-29,26.449277877807617,15.58899974822998,25.343055725097656,36.00149917602539
2015-01-30,26.062206268310547,17.726499557495117,26.527177810668945,34.62176513671875
2015-02-02,26.38920783996582,18.223499298095703,26.227426528930664,35.37590408325195
2015-02-03,26.393661499023438,18.177499771118164,26.26514434814453,35.650142669677734
2015-02-04,26.596084594726562,18.237499237060547,25.943553924560547,35.8558235168457
2015-02-05,26.785921096801758,18.694499969482422,26.182762145996094,36.37858200073242
2015-02-06,26.56035804748535,18.714000701904297,26.352489471435547,36.34429931640625
2015-02-09,26.736791610717773,18.527999877929688,26.195167541503906,36.30144119262695
2015-02-10,27.250442504882812,18.649999618530273,26.64727783203125,36.50712203979492
2015-02-11,27.889163970947266,18.756999969482422,26.59914207458496,36.318580627441406
2015-02-12,28.242013931274414,18.85849952697754,26.944549560546875,36.92702865600586
2015-02-13,28.38048553466797,19.09149932861328,27.246288299560547,37.59547424316406
2015-02-17,28.547977447509766,18.771499633789062,26.940086364746094,37.612735748291016
2015-02-18,28.74673843383789,18.668500900268555,26.78425407409668,37.56958770751953
2015-02-19,28.68644142150879,18.950000762939453,26.941574096679688,37.54369354248047
2015-02-20,28.92093276977539,19.183000564575195,26.74703025817871,37.85441589355469
2015-02-23,29.702579498291016,19.006999969482422,26.39765167236328,38.10469055175781
2015-02-24,29.51721954345703,18.929500579833984,26.6050968170166,38.05290222167969
2015-02-25,28.76236343383789,19.26849937438965,26.991201400756836,37.966590881347656
2015-02-26,29.126392364501953,19.239999771118164,27.5673828125,38.02702713012695
2015-02-27,28.68868064880371,19.007999420166016,27.712297439575195,37.84578323364258
2015-03-02,28.82936668395996,19.283000946044922,28.35448455810547,37.87165832519531
2015-03-03,28.889673233032227,19.230499267578125,28.4686279296875,37.35382080078125
2015-03-04,28.7065372467041,19.13599967956543,28.455228805541992,37.163944244384766
2015-03-05,28.230850219726562,19.39150047302246,28.552499771118164,37.207088470458984
2015-03-06,28.273290634155273,19.004499435424805,28.173093795776367,36.559783935546875
2015-03-09,28.39388084411621,18.92799949645996,28.230911254882812,36.98269271850586
2015-03-10,27.806533813476562,18.475500106811523,27.54405975341797,36.274986267089844
2015-03-11,27.29958152770996,18.318500518798828,27.35398292541504,36.2318229675293
2015-03-12,27.793127059936523,18.711999893188477,27.568872451782227,35.40326690673828
2015-03-13,27.6010684967041,18.52899932861328,27.162416458129883,35.7139778137207
2015-03-16,27.904796600341797,18.667499542236328,27.519245147705078,35.869319915771484
2015-03-17,28.371553421020508,18.59600067138672,27.337108612060547,35.99016571044922
2015-03-18,28.690908432006836,18.756999969482422,27.766887664794922,36.68061828613281
2015-03-19,28.474281311035156,18.66200065612793,27.691951751708984,36.49938201904297
2015-03-20,28.11695671081543,18.92449951171875,27.809566497802734,37.00857162475586
2015-03-23,28.409517288208008,18.75550079345703,27.73264503479004,36.9913215637207
2015-03-24,28.29338264465332,18.704500198364258,28.29741096496582,37.025848388671875
2015-03-25,27.554170608520508,18.54800033569336,27.731403350830078,35.78303527832031
2015-03-26,27.746227264404297,18.36750030517578,27.552000045776367,35.5672492980957
2015-03-27,27.52513313293457,18.527999877929688,27.213037490844727,35.3601188659668
2015-03-30,28.221923828125,18.72949981689453,27.39616584777832,35.351470947265625
2015-03-31,27.788660049438477,18.604999542236328,27.196165084838867,35.09256362915039
2015-04-01,27.74846649169922,18.51300048828125,26.92618751525879,35.14434814453125
2015-04-02,27.9874267578125,18.612499237060547,26.57730484008789,34.773231506347656
2015-04-06,28.440771102905273,18.851999282836914,26.638591766357422,35.86070251464844
2015-04-07,28.14151954650879,18.720500946044922,26.651248931884766,35.84343338012695
2015-04-08,28.049955368041992,19.059999465942383,26.87904167175293,35.74849319458008
2015-04-09,28.264347076416016,19.177000045776367,26.837852478027344,35.800289154052734
2015-04-10,28.384944915771484,19.13249969482422,26.799636840820312,36.00740051269531
2015-04-13,28.32910919189453,19.118000030517578,26.757949829101562,36.04193878173828
2015-04-14,28.206289291381836,19.25550079345703,26.322216033935547,35.946998596191406
2015-04-15,28.31348419189453,19.172500610351562,26.42841911315918,36.47348403930664
2015-04-16,28.1772518157959,19.302000045776367,26.49144744873047,36.38717269897461
2015-04-17,27.860124588012695,18.777999877929688,26.0075740814209,35.92111587524414
2015-04-20,28.496614456176758,19.475500106811523,26.569860458374023,37.03448486328125
2015-04-21,28.342510223388672,19.55900001525879,26.49988555908203,36.80145263671875
