,0
2015-04-07,-0.030051480673776488
2015-04-08,0.015471486361852351
2015-04-09,0.022839669373721342
2015-04-10,-0.0020964572522535665
2015-04-13,-0.004865143079570652
2015-04-14,0.020442857057174347
2015-04-15,-0.023634022964227012
2015-04-16,0.001503339090815405
2015-04-17,-0.025170349009475606
2015-04-20,0.03244813742789003
2015-04-21,0.007104235837420227
2015-04-22,4.641671479060569e-05
2015-04-23,-0.008155383396421613
2015-04-24,0.02816558654163167
2015-04-27,0.022772754209670402
2015-04-28,-0.09181394584703956
2015-04-29,-0.017823631078996302
2015-04-30,-0.045852281111856304
2015-05-01,0.06104349523538282
2015-05-04,0.004433933003477429
2015-05-05,-0.013900764033230997
2015-05-06,0.03223589663126101
2015-05-07,0.013938611171649275
2015-05-08,0.01372042945558628
2015-05-11,-0.006722499193685838
2015-05-12,-0.0009752133642923193
2015-05-13,-0.02106995467450141
2015-05-14,0.01500700643248698
2015-05-15,-0.0031379322689682135
2015-05-18,0.03020997314063619
2015-05-19,-0.018583174876160694
2015-05-20,0.0038477814947051256
2015-05-21,0.04525547607905675
2015-05-22,0.023749572745818133
2015-05-26,-0.027206100174714264
2015-05-27,0.011576112611397602
2015-05-28,-0.014889183836815669
2015-05-29,0.01771714404169617
2015-06-01,-0.0051971674549169886
2015-06-02,-0.007736739319316359
2015-06-03,0.02107951831418314
2015-06-04,-0.008981384891507366
2015-06-05,-0.010672603849385938
2015-06-08,-0.000313017784899108
2015-06-09,0.0036411911892363542
2015-06-10,-0.007882074811250802
2015-06-11,0.011695406284083658
2015-06-12,-0.012880365902613789
2015-06-15,-0.00022402660030519748
2015-06-16,0.0096311574302987
2015-06-17,-0.009075775628722381
2015-06-18,0.010760396531647103
2015-06-19,-0.014566980897662951
2015-06-22,0.013320039951193682
2015-06-23,0.028881137818656935
2015-06-24,0.013080761820627266
2015-06-25,-0.007518906047973224
2015-06-26,0.0005375778652793118
2015-06-29,-0.014767791551986924
2015-06-30,0.03693477487101664
2015-07-01,0.0167180591981346
2015-07-02,-0.002507931763570099
2015-07-06,-0.01090065348576862
2015-07-07,0.019903077706267737
2015-07-08,-0.011078907971281415
2015-07-09,0.031499555517037536
2015-07-10,0.010140647551228711
2015-07-13,0.0568685576780415
2015-07-14,0.07848480715572417
2015-07-15,0.0006125132335177245
2015-07-16,0.07517869075969082
2015-07-17,0.7166291051510438
2015-07-20,-0.11640467553423844
2015-07-21,0.0027747955249449565
2015-07-22,0.061858123542301156
2015-07-23,-0.10601543385074927
2015-07-24,-0.3550030993699113
2015-07-27,0.04155512562265673
2015-07-28,0.021904211614428404
2015-07-29,0.011077253678446836
2015-07-30,-0.026996530321482158
2015-07-31,-0.03824589360518724
2015-08-03,0.07195483858126053
2015-08-04,0.026143256820812765
2015-08-05,0.08089929359756055
2015-08-06,0.02925131758312071
2015-08-07,-0.031600091410638936
2015-08-10,-0.0637779715468959
2015-08-11,0.2549391322635636
2015-08-12,-0.02294579696615599
2015-08-13,-0.03666197422935907
2015-08-14,-0.013270401110950394
2015-08-17,-0.0026710337358385808
2015-08-18,-0.029506560340320065
2015-08-19,0.063681541751563
2015-08-20,0.0007752397502890779
2015-08-21,-0.06774660864787348
2015-08-24,0.0013735722882925738
2015-08-25,-0.06743434939104517
2015-08-26,0.1302247677005633
2015-08-27,-0.053731493564891875
2015-08-28,-0.05614896822351408
2015-08-31,-0.06023078336984017
2015-09-01,-0.01997182152543263
2015-09-02,0.005309049322311646
2015-09-03,-0.019844027536283997
2015-09-04,0.001785996080218552
2015-09-08,-0.01495919369032267
2015-09-09,0.017999878673579644
2015-09-10,0.01759296706693686
2015-09-11,-0.014214052354823512
2015-09-14,0.007643789420341683
2015-09-15,0.06659336795549109
2015-09-16,-0.019069983395564233
2015-09-17,0.029077845348336018
2015-09-18,-0.093201428748621
2015-09-21,-0.009870859074973579
2015-09-22,-0.036131261652095445
2015-09-23,-0.0019117961066467213
2015-09-24,0.02841136418167195
2015-09-25,-0.0639067997416737
2015-09-28,-0.020391063625238404
2015-09-29,0.06645554210911059
2015-09-30,0.016930297721233112
2015-10-01,-0.011205712472797568
2015-10-02,0.05388531700663567
2015-10-05,0.1201414765746208
2015-10-06,-0.0524357322867236
2015-10-07,0.049436855853136605
2015-10-08,0.022427316225137557
2015-10-09,-0.08788097461195889
2015-10-12,0.09304962553695915
2015-10-13,-0.009685200513217869
2015-10-14,0.04059583939812799
2015-10-15,0.06318327143244117
2015-10-16,0.10804221507373507
2015-10-19,-0.007490204518992554
2015-10-20,-0.1964642048361531
2015-10-21,-0.06539319491962133
2015-10-22,0.015493337418199457
2015-10-23,0.3111725109503034
2015-10-26,0.28763609347488006
2015-10-27,0.02277090639825015
2015-10-28,-0.16915472051332855
2015-10-29,-0.015505259091119293
2015-10-30,0.009147144634174653
2015-11-02,-0.02445363118831121
2015-11-03,-0.048178251327666365
2015-11-04,0.1286719290485236
2015-11-05,0.10815675999506433
2015-11-06,0.03383800125588897
2015-11-09,-0.03666310056697132
2015-11-10,0.17691602295290157
2015-11-11,0.11747740763818951
2015-11-12,-0.03830095362081673
2015-11-13,-0.0033276364234567923
2015-11-16,-0.008225622586169698
2015-11-17,-0.020801078039916973
2015-11-18,-0.008250964124902976
2015-11-19,-0.07966882556536259
2015-11-20,0.05317141895323549
2015-11-23,0.12237718922995128
2015-11-24,-0.10219410567425465
2015-11-25,0.04257097868759506
2015-11-27,0.010333157948225643
2015-11-30,-0.06578496957908332
2015-12-01,0.1854123593048542
2015-12-02,0.02475048825875051
